SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
509550,GAMMON INDIA,B ,Q,9.39,9.46,9.20,9.25,9.25,9.39,131,83975,782579.00,,INE259B01020,02-Aug-17,,
509557,GARWARE WALL,B ,Q,888.00,899.00,875.00,889.60,881.00,886.55,118,495,438886.00,,INE276A01018,02-Aug-17,,
509563,GARWA.MARINE,XT,Q,6.05,6.05,6.05,6.05,6.05,6.36,2,300,1815.00,,INE925D01014,02-Aug-17,,
509567,GOA CARBON  ,T ,Q,275.00,275.00,261.95,266.20,266.20,275.70,294,11973,3184500.00,,INE426D01013,02-Aug-17,,
509631,HEG LIMITED ,B ,Q,498.50,511.00,489.25,497.15,497.15,493.45,2367,58299,29113156.00,,INE545A01016,02-Aug-17,,
509635,HIND.COMPOSI,B ,Q,598.45,599.25,594.00,594.15,594.00,597.15,13,165,98293.00,,INE310C01029,02-Aug-17,,
509675,HIL         ,B ,Q,1125.25,1151.65,1123.50,1133.05,1131.05,1136.80,291,3089,3508508.00,,INE557A01011,02-Aug-17,,
509692,IND.CARD    ,B ,Q,188.50,190.00,188.00,190.00,190.00,191.00,5,350,66150.00,,INE061A01014,02-Aug-17,,
509709,INT.CONVEYOR,XC,Q,24.70,28.00,23.00,23.25,23.25,24.75,31,17138,431930.00,,INE575C01027,02-Aug-17,,
509715,JAYSHRE TEA ,B ,Q,105.00,106.70,103.90,104.55,104.55,103.90,315,17883,1878742.00,,INE364A01020,02-Aug-17,,
509760,MODERN SHARE,XD,Q,17.30,17.30,17.30,17.30,17.30,16.60,1,2,34.00,,INE370A01019,02-Aug-17,,
509820,PAPERPROD   ,B ,Q,250.00,252.00,249.05,252.00,252.00,251.65,77,438,109975.00,,INE275B01026,02-Aug-17,,
509835,PREMIER SYN.,XT,Q,44.50,44.50,44.50,44.50,44.50,43.50,1,100,4450.00,,INE940N01012,02-Aug-17,,
509874,SHALIMAR PAI,T ,Q,214.00,220.75,211.00,215.60,217.95,218.35,97,5487,1189380.00,,INE849C01026,02-Aug-17,,
509895,HIND MILLS  ,XD,Q,376.05,385.00,376.05,385.00,385.00,373.05,8,78,29866.00,,INE832D01020,02-Aug-17,,
509930,SUPREM IND  ,A ,Q,1114.20,1116.00,1104.80,1107.40,1109.90,1110.80,191,3791,4200132.00,,INE195A01028,02-Aug-17,,
509953,TRADE WINGS ,XT,Q,81.70,81.70,81.70,81.70,81.70,86.00,2,79,6454.00,,INE961E01017,02-Aug-17,,
509966,VST INDUS.  ,B ,Q,3021.00,3096.00,2900.00,2995.00,2995.00,3019.80,63,653,1977874.00,,INE710A01016,02-Aug-17,,
510245,SWASTI VINAY,XD,Q,4.10,4.10,3.70,3.76,3.94,3.86,65,70595,270539.00,,INE804A01025,02-Aug-17,,
511000,MADHUS.SEC  ,XT,Q,8.40,8.40,7.98,7.98,7.98,8.40,4,67,553.00,,INE856D01011,02-Aug-17,,
511012,YAMINI INVES,XT,Q,16.80,16.80,16.80,16.80,16.80,17.10,1,101,1696.00,,INE457N01025,02-Aug-17,,
511034,JINDAL DRILL,B ,Q,168.90,169.95,164.40,167.20,166.90,170.60,88,3048,511525.00,,INE742C01031,02-Aug-17,,
511066,SAKTHI FIN. ,XC,Q,35.90,35.90,32.55,33.50,33.50,33.50,108,33800,1124536.00,,INE302E01014,02-Aug-17,,
511072,DEWAN H.FIN.,A ,Q,468.00,468.00,458.75,460.40,460.40,465.70,2780,148430,68605586.00,,INE202B01012,02-Aug-17,,
511076,SAT IND LTD ,XT,Q,25.40,26.25,25.40,26.25,26.00,25.00,15,9757,253341.00,,INE065D01027,02-Aug-17,,
511092,JMDVL       ,XD,Q,3.05,3.08,3.03,3.06,3.05,3.04,72,287260,876775.00,,INE047E01023,02-Aug-17,,
511108,SHIVA TEXYAM,B ,Q,368.00,372.00,360.00,369.80,369.80,360.10,82,3779,1386079.00,,INE705C01012,02-Aug-17,,
511110,V.B.DESAI   ,XD,Q,11.19,11.19,10.64,10.64,10.64,11.19,4,225,2476.00,,INE848D01018,02-Aug-17,,
511116,QUADRANT    ,XC,Q,2.41,2.51,2.40,2.43,2.49,2.51,24,9742,23798.00,,INE527B01020,02-Aug-17,,
511122,FIRST CUSTO.,XT,Q,25.00,25.00,25.00,25.00,25.00,24.20,12,995,24875.00,,INE609B01018,02-Aug-17,,
511131,KAMAN HSG   ,XD,Q,13.49,13.63,13.01,13.03,13.01,13.10,11,6500,84867.00,,INE344D01018,02-Aug-17,,
511144,ASYAINFO    ,XD,Q,45.50,47.30,45.50,46.75,46.75,45.95,73,41515,1949631.00,,INE520G01016,02-Aug-17,,
511147,WALL ST.FIN.,XD,Q,26.00,29.85,26.00,29.75,29.75,24.90,177,65540,1891766.00,,INE549D01012,02-Aug-17,,
511153,ANJANIFOODS ,XT,Q,18.80,18.80,18.80,18.80,18.80,18.80,1,100,1880.00,,INE096I01013,02-Aug-17,,
511196,CANFIN HOMES,A ,Q,3099.95,3109.50,3058.00,3073.30,3073.30,3082.15,724,5747,17681520.00,,INE477A01012,02-Aug-17,,
511200,MUNOTH CAP. ,XT,Q,63.20,63.20,63.20,63.20,63.20,66.50,13,56,3539.00,,INE910G01027,02-Aug-17,,
511208,IL & FS INVE,B ,Q,16.50,16.70,16.05,16.15,16.15,16.40,451,142252,2311114.00,,INE050B01023,02-Aug-17,,
